company,period_label,period_type,period_end,statement,line_item,value,value_period,currency,units,scope,source,source_url,report_date,page,original_file,sha256,direct_derived,notes
Laboratorios Rovi,Q1_2024,Q1,2024-03-31,Cash Flow,Operating Cash Flow,15544.0,Q1,EUR,thousand,group/consolidated,primary_source_pdf,https://www.rovi.es/sites/default/files/q1_2024_results_press_release_0.pdf,2024-05-08,36,Rovi_Q1_2024_PressRelease_ENG.pdf,e7ed551d9a599a5bdcee30c5a19f55fc1184c2553fea276a51bc0be283a77688,direct,True Q1 cash flow from Q1_2024 report
Laboratorios Rovi,Q2_2024,Q2,2024-06-30,Cash Flow,Operating Cash Flow,14205.0,Q2,EUR,thousand,group/consolidated,primary_source_pdf (derived),https://www.rovi.es/sites/default/files/informe_financiero_semestral_30.06.24_ingles_para_cnmv.pdf,2024-07-31,11,Rovi_H1_2024_ENG.pdf,a254713d5fd374cb58c23b2f310af93e8c3f28db25ee7eff187a0772099cd37c,derived,Q2 = H1_2024 - Q1_2024; same-scope derivation; Condensed consolidated interim; 'Net cash generated (used) in operating activities'
Laboratorios Rovi,Q3_2024,Q3,2024-09-30,Cash Flow,Operating Cash Flow,35451.0,Q3,EUR,thousand,group/consolidated,primary_source_pdf (derived),https://www.rovi.es/sites/default/files/rovi_presentacion_vf_1.pdf,2024-11-07,21,Rovi_9M_2024_Presentation_ES.pdf,1eaf9b45ab521f0a525ec8678e4337d6819d040d2f820ed8b7d9afda7f383c74,derived,Q3 = 9M_2024 - H1_2024; same-scope derivation; Group management figures from investor presentation; 'Flujo de actividades de explotación' Normalized to thousand EUR (original million).
Laboratorios Rovi,Q1_2025,Q1,2025-03-31,Cash Flow,Operating Cash Flow,18844.0,Q1,EUR,thousand,group/consolidated,primary_source_pdf,https://www.rovi.es/sites/default/files/rovi_press_release_def.pdf,2025-05-08,31,Rovi_Q1_2025_PressRelease_ENG.pdf,750100c71f6be62a04852a9b5fa8b977628828556792629378d3e0cf765a0b02,direct,True Q1 cash flow from Q1_2025 report
Laboratorios Rovi,Q2_2025,Q2,2025-06-30,Cash Flow,Operating Cash Flow,9180.0,Q2,EUR,thousand,group/consolidated,primary_source_pdf (derived),https://www.rovi.es/sites/default/files/informe_financiero_semestral_30.06.25_ingles_para_cnmv.pdf,2025-07-24,11,Rovi_H1_2025_ENG.pdf,1379ddb4ab4eb7e6c880ecf3dbca5e943df8f5669b7764d100010798f2e77c79,derived,Q2 = H1_2025 - Q1_2025; same-scope derivation; Condensed consolidated interim; 'Net cash generated (used) in operating activities'
