unnamed,2026-03-31,2025-03-31,2024-03-31,2023-03-31,2022-03-31,company,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13,unnamed_14,unnamed_15,unnamed_16,unnamed_17,unnamed_18,unnamed_19,unnamed_20,unnamed_21,unnamed_22,unnamed_23,unnamed_24,unnamed_25,unnamed_26,unnamed_27,unnamed_28,unnamed_29,unnamed_30,unnamed_31,unnamed_32,unnamed_33,unnamed_34,unnamed_35,unnamed_36,unnamed_37,unnamed_38,unnamed_39,unnamed_40,unnamed_41,unnamed_42,unnamed_43,unnamed_44,unnamed_45,unnamed_46,unnamed_47,unnamed_48,unnamed_49
Other Current Liabilities,,,,,,Ajanta Pharma,-69300,-35700,70600,59400,-310100,11300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Changes in Other Current Assets,,,,,,Ajanta Pharma,-238600,203700,-267500,116600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provisions,,,,,,Ajanta Pharma,,,,,,,271000,-446400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Provisions,,,,,,Ajanta Pharma,-91500,243600,-14500,-31800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Changes in Other Receivables,,,,,,Ajanta Pharma,,,,,,,-87300,-718900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Payable,,,,,,Ajanta Pharma,,,,,,,508700,-611300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Changes in Current Provisions,,,,,,Ajanta Pharma,,,,,-14600,-30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Financial Assets,,,,,,Ajanta Pharma,,-190300,82500,68500,204500,310000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Financial Liabilities,,,,,,Ajanta Pharma,224400,304500,247900,215600,103500,696300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow from Operating Activities,,,,,,Ajanta Pharma,1705600,2366400,3132600,2717100,3709200,3990300,7764600,2839400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Capital Expenditure on Property, Plant and Equipment Including Capital Advances",,,,,,Ajanta Pharma,-1827200,-1355500,-702600,-758200,-855400,-523300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Capital Expenditure on Property, Plant and Equipment and Intangible Assets Including Capital Advances",,,,,,Ajanta Pharma,,,,,,,-1497400,-1734700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Proceeds From Sale of Property, Plant & Equipment",,,,,,Ajanta Pharma,,2900,14700,157500,12600,5600,5500,70600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purchase of Current Investments,,,,,,Ajanta Pharma,-2844100,-2145000,-3531600,-2777400,-1755000,-5928900,-19697900,-15608600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proceeds from Sale of Current Investments,,,,,,Ajanta Pharma,,,,1244100,162800,8903400,16282300,11549900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Investment)/with Drawl in Bank Deposits,,,,,,Ajanta Pharma,-13800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment in limited liabilty partneship - Non-Current investment,,,,,,Ajanta Pharma,,,,,,,-62500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proceeds from Sale of Investment,,,,,,Ajanta Pharma,2792400,1033000,1525700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purchase/sale of Non-current Investments,,,,,,Ajanta Pharma,-64100,13000,82900,-250100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank Balances not Considered as Cash and Cash Equivalents,,,,,,Ajanta Pharma,,13700,-253500,266300,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank Balances not Considered as Cash and Cash Equivalents (net),,,,,,Ajanta Pharma,,,,,,1200,2400,-1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Insurance Claim Received Against Property, Plant and Equipment",,,,,,Ajanta Pharma,,,110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income on Investments and Deposits,,,,,,Ajanta Pharma,20100,26500,7400,47200,2300,1300,210700,235100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow from Investing Activities,,,,,,Ajanta Pharma,-1936700,-2411400,-2747000,-2070600,-2426200,2459300,-4756900,-5489400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Proceeds Borrowings/payments, Net",,,,,,Ajanta Pharma,13400,69000,-435700,-5800,-4200,-5100,9300,1991300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Repayment of Lease Liability (including Interest Thereon),,,,,,Ajanta Pharma,,-32200,-86200,-77100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payments for Buy-back of Shares,,,,,,Ajanta Pharma,,,,,,-3882700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payment for Buy Back of Equity Shares,,,,,,Ajanta Pharma,,,,,,,-3513400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payment for Expenses for Buyback of Shares,,,,,,Ajanta Pharma,,,,,5400,-8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income/(Payment) for Expenses for Buyback of Equity Shares,,,,,,Ajanta Pharma,,,,,,,-22600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dividends Paid,,,,,,Ajanta Pharma,,,,,,-3147900,,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deferred Government Grant,,,,,,Ajanta Pharma,,,,,,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payment of Lease Liability,,,,,,Ajanta Pharma,,,,,-82000,-77600,-79700,-105800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Paid,,,,,,Ajanta Pharma,-3000,-15900,-31600,-6800,7500,-17000,-53500,-70300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow from Financing Activities,,,,,,Ajanta Pharma,10400,20900,-553500,-89700,-73300,-7137400,-3659900,1815100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow Net Changes in Cash,,,,,,Ajanta Pharma,-220700,-24100,-167900,556800,1209700,-687800,-652200,-834900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Type: Quarters,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P Capital IQ - Standard,,,,,,Ajanta Pharma,2014 FQ4,2015 FQ4,2016 FQ2,2016 FQ4,2017 FQ2,2017 FQ4,2018 FQ2,2018 FQ4,2019 FQ2,2019 FQ4,2020 FQ2,2020 FQ4,2021 FQ2,2021 FQ4,2022 FQ2,2022 FQ4,2023 FQ2,2023 FQ4,2024 FQ2,2024 FQ4,2025 FQ2,2025 FQ4,2026 FQ2,2026 FQ4,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,,,,,,Ajanta Pharma,2014-03-31 00:00:00,2015-04-01 00:00:00,2015-09-30 00:00:00,2016-03-31 00:00:00,2016-09-30 00:00:00,2017-03-31 00:00:00,2017-09-30 00:00:00,2018-03-31 00:00:00,2018-09-30 00:00:00,2019-03-31 00:00:00,2019-09-30 00:00:00,2020-03-31 00:00:00,2020-09-30 00:00:00,2021-03-31 00:00:00,2021-09-30 00:00:00,2022-03-31 00:00:00,2022-09-30 00:00:00,2023-03-31 00:00:00,2023-09-30 00:00:00,2024-03-31 00:00:00,2024-09-30 00:00:00,2025-03-31 00:00:00,2025-09-30 00:00:00,2026-03-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
Currency,,,,,,Ajanta Pharma,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,,,,,,,,,,,,,,,,,,,,,,,,
Units,,,,,,Ajanta Pharma,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Cash Equivalents,,,,,,Ajanta Pharma,,416700,,414200,894200,658300,650700,906400,685700,951600,927500,2023500,1855600,1775100,2355200,2063600,3288100,3298300,2618200,1294900,638900,1751200,898100,1032600,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Bank Balance,,,,,,Ajanta Pharma,603900,,1048900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Bank Balances,,,,,,Ajanta Pharma,,822700,,19500,44800,41200,4200,24500,45000,53500,39700,29000,282600,321000,54800,54300,47700,10700,9500,12800,10400,11200,12900,15100,,,,,,,,,,,,,,,,,,,,,,,,
Investments,,,,,,Ajanta Pharma,550000,198900,1111500,767800,1742700,1815600,2451900,1823800,1875500,647400,1759500,671400,2677300,1756700,3281800,1218600,2810800,,2128200,3300500,6769800,,8489800,,,,,,,,,,,,,,,,,,,,,,,,,
Iinvestments,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,5102700,,,,4387100,,5598500,,,,,,,,,,,,,,,,,,,,,,,,
Trade Receivables,,,,,,Ajanta Pharma,2022200,2587600,3190400,3723500,3786900,3231500,4008300,4597900,5570900,4594800,6274500,7753000,7549100,7384300,8211800,10198100,11804300,10569000,11413500,12468400,10164300,11827400,14475000,18538800,,,,,,,,,,,,,,,,,,,,,,,,
"Current Tax Assets, Net",,,,,,Ajanta Pharma,,,,176400,,,65700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loans,,,,,,Ajanta Pharma,,,,,,,,,,116600,,90100,50700,80300,68000,63700,80300,,225400,339600,202000,,20800,,,,,,,,,,,,,,,,,,,,,,,,,
Loans and Advances,,,,,,Ajanta Pharma,464200,,403300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(V) Loans,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,173900,,,,25400,,16800,,,,,,,,,,,,,,,,,,,,,,,,
Inventories,,,,,,Ajanta Pharma,1554000,1590300,1682800,2045800,1987800,2110200,2648800,3506300,4001500,4357100,4509200,4956800,6330000,7664700,7863400,7910700,7485800,,7857900,,8456600,,8121400,,,,,,,,,,,,,,,,,,,,,,,,,
(A) Inventories,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,8156300,,8283600,,9038500,,9385400,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Assets,,,,,,Ajanta Pharma,6200,504600,4900,478400,478400,636800,716600,1053800,1072600,1006900,635000,862500,1126200,1235200,1109300,958700,927100,,1314100,,1461600,,1867400,,,,,,,,,,,,,,,,,,,,,,,,,
Other Financial Assets,,,,,,Ajanta Pharma,,91200,,7100,8900,12400,,323500,323800,70200,485900,30800,59000,58600,212000,176900,31400,24800,61100,190200,155700,23200,51000,89800,,,,,,,,,,,,,,,,,,,,,,,,
Assets Classified as Held for Sale,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,88200,,88500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-current Assets Classified as Held for Sale,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,,,,88500,,,,,,,,,,,,,,,,,,,,,,,,,,,
(C) Other Current Assets,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,916100,,1330700,,1233000,,2677300,,,,,,,,,,,,,,,,,,,,,,,,
(D) Assets Classied as held for sale,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,,,,,133300,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Current Assets,,,,,,Ajanta Pharma,5200500,,7441800,,,8506000,10546200,12236200,13575000,11798100,14631300,16417100,19930500,20275900,23156300,22644600,26475500,28340000,25627900,27309200,27947800,28430300,33936400,37354300,,,,,,,,,,,,,,,,,,,,,,,,
(B) Capital Work-in-progress,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,2094700,,2564500,,1762700,,2580500,,,,,,,,,,,,,,,,,,,,,,,,
Right of Use Assets,,,,,,Ajanta Pharma,,,,,,,,,,,305200,908500,852400,922200,714700,702500,743800,,789700,,775300,,914400,,,,,,,,,,,,,,,,,,,,,,,,,
(C Right of Use Assets,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,808600,,804000,,906300,,990200,,,,,,,,,,,,,,,,,,,,,,,,
Capital Work in Progress,,,,,,Ajanta Pharma,935500,1702000,,2384200,3210500,3380300,944400,613300,1524300,2616100,3283100,1318600,1665500,1081900,1266800,1528600,1823000,,2047500,,3487600,,1461300,,,,,,,,,,,,,,,,,,,,,,,,,
"Property, Plant and Equipment",,,,,,Ajanta Pharma,2768200,2837800,4981900,4469800,4524000,5831600,9024400,10452100,10763600,11617000,11650000,13601900,13247700,14292000,14186800,14243100,13969700,,13965700,,13604900,,17402000,,,,,,,,,,,,,,,,,,,,,,,,,
"(A) Property, Plant and Equipment",,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,14078300,,13841300,,16248700,,17263500,,,,,,,,,,,,,,,,,,,,,,,,
Investments,,,,,,Ajanta Pharma,84600,453500,400400,,,,,75800,139900,129900,116900,122800,39900,,250000,251000,251000,,251000,185800,248300,,252400,,,,,,,,,,,,,,,,,,,,,,,,,
Iinvestments,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,251000,,,,252400,,285000,,,,,,,,,,,,,,,,,,,,,,,,
Deferred Tax Asset-net,,,,,,Ajanta Pharma,,50600,,85800,263100,244500,291300,226100,359400,318100,320200,254000,370100,501000,548600,555500,744200,,1337500,,1463900,,1973800,,,,,,,,,,,,,,,,,,,,,,,,,
(F) Deferred Tax Assets (net),,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,967700,,1344500,,1864300,,1885900,,,,,,,,,,,,,,,,,,,,,,,,
Non Current Tax Assets Net,,,,,,Ajanta Pharma,,,,,,210000,,228300,158900,134800,135000,138300,138500,214400,85800,270400,86300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loans,,,,,,Ajanta Pharma,,,,,,,,,,84500,106500,65200,65100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-term Loans and Advances,,,,,,Ajanta Pharma,391500,,226200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intangible Assets,,,,,,Ajanta Pharma,25700,,,,,,,74500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Intangible Assets,,,,,,Ajanta Pharma,,32200,,37600,55300,60100,77900,,60500,66500,51900,117100,103100,107900,97900,90200,81400,,90600,,133200,,412000,,,,,,,,,,,,,,,,,,,,,,,,,
Intangible Assets Under Development,,,,,,Ajanta Pharma,,,,13800,2600,12300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D) Other Intangible Assets,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,,,146600,,465200,,415800,,,,,,,,,,,,,,,,,,,,,,,,
(D) Other intangible assets (other than self generated),,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,77500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Held for Sale,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,9800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,Ajanta Pharma,,92300,,92600,78200,,122700,,,,34400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Non-current Assets,,,,,,Ajanta Pharma,87500,53800,50500,163100,225300,139300,338400,435500,590000,71500,316700,58600,82000,139200,80400,65400,90500,,112900,,152300,,294300,,,,,,,,,,,,,,,,,,,,,,,,,
Other Financial Assets,,,,,,Ajanta Pharma,,,,,,92900,,144100,116800,26500,,90900,122800,163700,160900,120400,121700,110900,109500,93600,91700,92500,77500,79900,,,,,,,,,,,,,,,,,,,,,,,,
Investment Properties,,,,,,Ajanta Pharma,,,,,,,,,,98800,,93900,91400,89000,86500,84100,81600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(H) Other Non-current Assets,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,53200,,,,127100,,617700,,,,,,,,,,,,,,,,,,,,,,,,
(G) Income Tax Asset (net),,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,8300,,94400,,,,75600,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,,,,,,Ajanta Pharma,9493500,11434200,13100800,14879600,17302700,18477000,21345300,24485900,27288400,26961800,30951200,33186900,36709000,37787200,40634700,40555800,44478500,46790200,44332300,46383900,47905000,50149500,56724100,61548400,,,,,,,,,,,,,,,,,,,,,,,,
Trade Payables,,,,,,Ajanta Pharma,1245400,1090600,1410800,1455700,1507700,1781800,1875800,,2553300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Outstanding Dues of Micro\ Enterprises and Small Enterprises,,,,,,Ajanta Pharma,,,,,,,,89100,,93900,56800,89900,244800,244800,211200,279800,350400,,209700,,139700,,193300,,,,,,,,,,,,,,,,,,,,,,,,,
Total Outstanding Dues of Creditors Other Than Micro Enterprises and Small Enterprises,,,,,,Ajanta Pharma,,,,,,,,2407200,,2157900,2776100,3533500,3578500,3493800,2795600,2991900,3525000,,3401300,,4069100,,4107200,,,,,,,,,,,,,,,,,,,,,,,,,
a) Total outstanding due of micro enterprises              and small enterprises,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,379400,,206400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b) Total outstanding dues of creditors other               than micro enterprises & small enterprises,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,,,4425600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A) Total Outstanding Dues of Micro and Small Enterprises,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,,,,,215500,,541700,,,,,,,,,,,,,,,,,,,,,,,,
(b) Total Outstanding Dues of Creditors Other Than Micro and Small Enterprises,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,,,,,4326500,,4901300,,,,,,,,,,,,,,,,,,,,,,,,
(B) Total Outstanding Dues of Creditors Other Than Micro Enterprises,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,3848300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,Ajanta Pharma,605500,50800,189600,462500,240100,,,,,333400,400100,428500,,900,,2700,100,,9100,14900,24200,,2017200,,,,,,,,,,,,,,,,,,,,,,,,,
Lease Liabilities,,,,,,Ajanta Pharma,,,,,,,,,,,,173100,125700,115000,87400,61900,62800,92500,96400,102700,88300,101100,80300,87600,,,,,,,,,,,,,,,,,,,,,,,,
Iborrowings,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,1800,,,,25900,,2119900,,,,,,,,,,,,,,,,,,,,,,,,
"Current Tax Liabilities, Net",,,,,,Ajanta Pharma,,25600,,,18600,80400,,37200,448900,,92100,117000,430000,489200,303400,79400,355700,,815200,,552000,,427700,,,,,,,,,,,,,,,,,,,,,,,,,
(D) Current Tax Liabilities (net),,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,330700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(D) Income Tax Liabilities (net),,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,,,447700,,405300,,54900,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Liabilities,,,,,,Ajanta Pharma,476300,154700,645500,162100,361900,79000,240800,86400,17100,88200,54600,205700,272500,304200,354100,644200,346700,,251500,,607700,,319900,,,,,,,,,,,,,,,,,,,,,,,,,
Provisions,,,,,,Ajanta Pharma,427000,96800,80100,113500,138700,141100,148800,287500,196000,76700,516100,91600,89000,117100,91700,108100,99400,,120400,,211700,,228600,,,,,,,,,,,,,,,,,,,,,,,,,
Other Financial Liabilities,,,,,,Ajanta Pharma,,428600,,405100,334600,384300,616000,553100,676400,1026300,1104800,1422400,1576300,1721300,1791300,2305900,2305000,6368400,3089700,2980300,3397400,3742000,4223900,4958200,,,,,,,,,,,,,,,,,,,,,,,,
Liabilities Classified as Held for Sale,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,,,5100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Other Current Liabilities,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,231500,,597300,,911200,,1190000,,,,,,,,,,,,,,,,,,,,,,,,
(C) Provisions,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,140200,,177600,,233500,,303900,,,,,,,,,,,,,,,,,,,,,,,,
Total Current Liabilities,,,,,,Ajanta Pharma,2754200,,2326000,,,2466600,2881400,3460500,3891700,3776400,5000600,6061700,6316800,6486300,5634700,6473900,7045100,11392800,7993300,8957600,9090100,9961000,11598100,14157500,,,,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,Ajanta Pharma,523000,332500,241600,148700,14900,10400,10300,10100,6700,6600,6800,7400,16100,16000,9900,16400,14900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lease Liabilities,,,,,,Ajanta Pharma,,,,,,,,,,,348200,119700,102600,181700,171800,169300,207000,249500,224700,235200,215400,,361400,,,,,,,,,,,,,,,,,,,,,,,,,
Iborrowings,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,12500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(I) Lease Liabilities,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,,,,,347200,,394200,,,,,,,,,,,,,,,,,,,,,,,,
Deferred Tax Liability,,,,,,Ajanta Pharma,229900,137800,158200,192900,241800,273400,420100,470000,544300,589000,749300,811600,943800,921700,981700,1018700,936200,,1028200,,1125600,,1187800,,,,,,,,,,,,,,,,,,,,,,,,,
(C)deferred Tax Liabilities (net),,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,977200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(D) Deferred Tax Liabilities (net),,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,,,1085000,,1105200,,1179400,,,,,,,,,,,,,,,,,,,,,,,,
Other Long-term Liabilities,,,,,,Ajanta Pharma,25000,,26100,,,,,,,,,36700,35000,33400,31700,30000,28400,,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provisions,,,,,,Ajanta Pharma,28300,47600,58100,25900,28000,31500,49500,131600,146400,134400,130200,156500,149100,179300,205000,193200,201600,,228700,,672200,,389100,,,,,,,,,,,,,,,,,,,,,,,,,
Other Non-current Liabilities,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,,,,21700,,18400,,,,,,,,,,,,,,,,,,,,,,,,,
Other Financial Liabilities,,,,,,Ajanta Pharma,,25000,,4600,900,900,,,800,3300,4100,4600,11000,12500,10900,10900,10500,10100,13700,13700,10500,10500,19200,18200,,,,,,,,,,,,,,,,,,,,,,,,
B1 - 5) Other Non-current Liabilities,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,26700,,23400,,20000,,16700,,,,,,,,,,,,,,,,,,,,,,,,
Non- Current Tax Liabilities (net),,,,,,Ajanta Pharma,,,,,,17300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(C) Provisions,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,241500,,395400,,802700,,511500,,,,,,,,,,,,,,,,,,,,,,,,
Common Stock - Par Value,,,,,,Ajanta Pharma,176700,176800,176900,176900,176900,176900,176900,176900,176900,175400,175400,175400,175400,173900,173900,171700,257100,252700,252700,252700,250700,250700,250700,250700,,,,,,,,,,,,,,,,,,,,,,,,
Reserves & Surplus,,,,,,Ajanta Pharma,5756400,,10113900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Equity,,,,,,Ajanta Pharma,,8867500,,11731700,14238600,15500000,17807100,20236800,22521600,22276700,24536600,25813300,28959200,29782400,33415100,32471700,35777700,,34566000,,36518800,,42899400,,,,,,,,,,,,,,,,,,,,,,,,,
(B Other Equity,,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,33627200,,35420900,,37652200,,45020200,,,,,,,,,,,,,,,,,,,,,,,,
Total Shareholders Equity,,,,,,Ajanta Pharma,5933100,9044300,10290800,11908600,14415500,15676900,17984000,20413700,22698500,22452100,24712000,25988700,29134600,29956300,33589000,32643400,36034800,33879900,34818700,35673600,36769500,37902900,43150100,45270900,,,,,,,,,,,,,,,,,,,,,,,,
Total Liabilities & Shareholders Equity,,,,,,Ajanta Pharma,9493500,11434200,13100800,14879600,17302700,18477000,21345300,24485900,27288400,26961800,30951200,33186900,36709000,37787200,40634700,40555800,44478500,46790200,44332300,46383900,47905000,50149500,56724100,61548400,,,,,,,,,,,,,,,,,,,,,,,,
Ajanta Pharma Limited | Income Statement (As Reported),,,,,,Ajanta Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P Capital IQ - Standard,,,,,,Ajanta Pharma,2015 FQ1,2015 FQ2,2015 FQ3,2015 FQ4,2016 FQ1,2016 FQ2,2016 FQ3,2016 FQ4,2017 FQ1,2017 FQ2,2017 FQ3,2017 FQ4,2018 FQ1,2018 FQ2,2018 FQ3,2018 FQ4,2019 FQ1,2019 FQ2,2019 FQ3,2019 FQ4,2020 FQ1,2020 FQ2,2020 FQ3,2020 FQ4,2021 FQ1,2021 FQ2,2021 FQ3,2021 FQ4,2022 FQ1,2022 FQ2,2022 FQ3,2022 FQ4,2023 FQ1,2023 FQ2,2023 FQ3,2023 FQ4,2024 FQ1,2024 FQ2,2024 FQ3,2024 FQ4,2025 FQ1,2025 FQ2,2025 FQ3,2025 FQ4,2026 FQ1,2026 FQ2,2026 FQ3,2026 FQ4
